time,cost_p_per_kwh
2023-01-01 00:00:00+00:00,4.2
2023-01-01 00:30:00+00:00,13.251
2023-01-01 01:00:00+00:00,14.7
2023-01-01 01:30:00+00:00,1.05
2023-01-01 02:00:00+00:00,6.384
2023-01-01 02:30:00+00:00,1.281
2023-01-01 03:00:00+00:00,1.995
2023-01-01 03:30:00+00:00,-4.872
2023-01-01 04:00:00+00:00,1.05
2023-01-01 04:30:00+00:00,-3.15
2023-01-01 05:00:00+00:00,-0.945
2023-01-01 05:30:00+00:00,-0.714
2023-01-01 06:00:00+00:00,-0.84
2023-01-01 06:30:00+00:00,1.05
2023-01-01 07:00:00+00:00,0.546
2023-01-01 07:30:00+00:00,8.4
2023-01-01 08:00:00+00:00,4.032
2023-01-01 08:30:00+00:00,15.96
2023-01-01 09:00:00+00:00,14.826
2023-01-01 09:30:00+00:00,29.652
2023-01-01 10:00:00+00:00,30.45
2023-01-01 10:30:00+00:00,34.65
2023-01-01 11:00:00+00:00,29.022
2023-01-01 11:30:00+00:00,35.4585
2023-01-01 12:00:00+00:00,31.899
2023-01-01 12:30:00+00:00,33.789
2023-01-01 13:00:00+00:00,33.6
2023-01-01 13:30:00+00:00,32.361
2023-01-01 14:00:00+00:00,33.6
2023-01-01 14:30:00+00:00,31.395
2023-01-01 15:00:00+00:00,28.602
2023-01-01 15:30:00+00:00,29.799
2023-01-01 16:00:00+00:00,35.797335
2023-01-01 16:30:00+00:00,35.797335
2023-01-01 17:00:00+00:00,35.797335
2023-01-01 17:30:00+00:00,35.797335
2023-01-01 18:00:00+00:00,35.797335
2023-01-01 18:30:00+00:00,35.797335
2023-01-01 19:00:00+00:00,35.797335
2023-01-01 19:30:00+00:00,34.65
2023-01-01 20:00:00+00:00,35.797335
2023-01-01 20:30:00+00:00,31.08
2023-01-01 21:00:00+00:00,35.797335
2023-01-01 21:30:00+00:00,32.55
2023-01-01 22:00:00+00:00,35.797335
2023-01-01 22:30:00+00:00,31.584
2023-01-01 23:00:00+00:00,35.797335
2023-01-01 23:30:00+00:00,31.08
2023-01-02 00:00:00+00:00,30.744
2023-01-02 00:30:00+00:00,35.797335
2023-01-02 01:00:00+00:00,35.797335
2023-01-02 01:30:00+00:00,33.474
2023-01-02 02:00:00+00:00,34.461
2023-01-02 02:30:00+00:00,33.81
2023-01-02 03:00:00+00:00,30.87
2023-01-02 03:30:00+00:00,29.442
2023-01-02 04:00:00+00:00,27.3
2023-01-02 04:30:00+00:00,25.62
2023-01-02 05:00:00+00:00,27.3
2023-01-02 05:30:00+00:00,27.3
2023-01-02 06:00:00+00:00,31.08
2023-01-02 06:30:00+00:00,30.282
2023-01-02 07:00:00+00:00,26.565
2023-01-02 07:30:00+00:00,28.56
2023-01-02 08:00:00+00:00,28.938
2023-01-02 08:30:00+00:00,31.626
2023-01-02 09:00:00+00:00,33.012
2023-01-02 09:30:00+00:00,34.86
2023-01-02 10:00:00+00:00,32.424
2023-01-02 10:30:00+00:00,32.34
2023-01-02 11:00:00+00:00,31.5
2023-01-02 11:30:00+00:00,34.02
2023-01-02 12:00:00+00:00,32.76
2023-01-02 12:30:00+00:00,32.928
2023-01-02 13:00:00+00:00,33.6
2023-01-02 13:30:00+00:00,32.319
2023-01-02 14:00:00+00:00,32.214
2023-01-02 14:30:00+00:00,31.5
2023-01-02 15:00:00+00:00,32.55
2023-01-02 15:30:00+00:00,32.55
2023-01-02 16:00:00+00:00,35.797335
2023-01-02 16:30:00+00:00,35.797335
2023-01-02 17:00:00+00:00,35.797335
2023-01-02 17:30:00+00:00,35.797335
2023-01-02 18:00:00+00:00,35.797335
2023-01-02 18:30:00+00:00,35.797335
2023-01-02 19:00:00+00:00,35.797335
2023-01-02 19:30:00+00:00,34.23
2023-01-02 20:00:00+00:00,33.39
2023-01-02 20:30:00+00:00,27.3
2023-01-02 21:00:00+00:00,35.595
2023-01-02 21:30:00+00:00,26.355
2023-01-02 22:00:00+00:00,28.56
2023-01-02 22:30:00+00:00,18.9
2023-01-02 23:00:00+00:00,33.39
2023-01-02 23:30:00+00:00,26.754
2023-01-03 00:00:00+00:00,26.628
2023-01-03 00:30:00+00:00,30.408
2023-01-03 01:00:00+00:00,31.29
2023-01-03 01:30:00+00:00,23.52
2023-01-03 02:00:00+00:00,25.242
2023-01-03 02:30:00+00:00,17.031
2023-01-03 03:00:00+00:00,23.31
2023-01-03 03:30:00+00:00,13.23
2023-01-03 04:00:00+00:00,23.52
2023-01-03 04:30:00+00:00,20.16
2023-01-03 05:00:00+00:00,25.83
2023-01-03 05:30:00+00:00,27.888
2023-01-03 06:00:00+00:00,30.87
