carbon_intensity_forecast,carbon_intensity_actual,carbon_intensity_index,time
73,72,low,2023-01-01 00:00:00+00:00
63,80,low,2023-01-01 00:30:00+00:00
71,72,low,2023-01-01 01:00:00+00:00
76,65,low,2023-01-01 01:30:00+00:00
72,65,low,2023-01-01 02:00:00+00:00
66,65,low,2023-01-01 02:30:00+00:00
67,67,low,2023-01-01 03:00:00+00:00
67,68,low,2023-01-01 03:30:00+00:00
67,71,low,2023-01-01 04:00:00+00:00
65,73,low,2023-01-01 04:30:00+00:00
73,72,low,2023-01-01 05:00:00+00:00
74,73,low,2023-01-01 05:30:00+00:00
76,73,low,2023-01-01 06:00:00+00:00
75,72,low,2023-01-01 06:30:00+00:00
78,75,low,2023-01-01 07:00:00+00:00
73,74,low,2023-01-01 07:30:00+00:00
76,73,low,2023-01-01 08:00:00+00:00
75,82,low,2023-01-01 08:30:00+00:00
69,78,low,2023-01-01 09:00:00+00:00
82,78,low,2023-01-01 09:30:00+00:00
80,84,low,2023-01-01 10:00:00+00:00
77,86,low,2023-01-01 10:30:00+00:00
89,87,low,2023-01-01 11:00:00+00:00
84,92,low,2023-01-01 11:30:00+00:00
90,90,low,2023-01-01 12:00:00+00:00
90,93,low,2023-01-01 12:30:00+00:00
88,93,low,2023-01-01 13:00:00+00:00
90,94,low,2023-01-01 13:30:00+00:00
92,103,low,2023-01-01 14:00:00+00:00
97,114,low,2023-01-01 14:30:00+00:00
107,129,moderate,2023-01-01 15:00:00+00:00
122,145,moderate,2023-01-01 15:30:00+00:00
136,150,moderate,2023-01-01 16:00:00+00:00
174,155,moderate,2023-01-01 16:30:00+00:00
160,162,moderate,2023-01-01 17:00:00+00:00
160,160,moderate,2023-01-01 17:30:00+00:00
157,160,moderate,2023-01-01 18:00:00+00:00
163,158,moderate,2023-01-01 18:30:00+00:00
159,160,moderate,2023-01-01 19:00:00+00:00
146,164,moderate,2023-01-01 19:30:00+00:00
158,162,moderate,2023-01-01 20:00:00+00:00
161,164,moderate,2023-01-01 20:30:00+00:00
168,162,moderate,2023-01-01 21:00:00+00:00
179,156,moderate,2023-01-01 21:30:00+00:00
188,153,moderate,2023-01-01 22:00:00+00:00
155,150,moderate,2023-01-01 22:30:00+00:00
152,153,moderate,2023-01-01 23:00:00+00:00
156,152,moderate,2023-01-01 23:30:00+00:00
156,145,moderate,2023-01-02 00:00:00+00:00
157,136,moderate,2023-01-02 00:30:00+00:00
148,129,moderate,2023-01-02 01:00:00+00:00
140,127,moderate,2023-01-02 01:30:00+00:00
134,127,moderate,2023-01-02 02:00:00+00:00
133,122,moderate,2023-01-02 02:30:00+00:00
132,120,moderate,2023-01-02 03:00:00+00:00
131,120,moderate,2023-01-02 03:30:00+00:00
125,123,moderate,2023-01-02 04:00:00+00:00
123,125,moderate,2023-01-02 04:30:00+00:00
129,119,low,2023-01-02 05:00:00+00:00
137,123,moderate,2023-01-02 05:30:00+00:00
130,133,moderate,2023-01-02 06:00:00+00:00
131,134,moderate,2023-01-02 06:30:00+00:00
143,151,moderate,2023-01-02 07:00:00+00:00
150,152,moderate,2023-01-02 07:30:00+00:00
