carbon_intensity_forecast,carbon_intensity_actual,carbon_intensity_index,time
161,156,moderate,2023-01-02 08:00:00+00:00
161,161,moderate,2023-01-02 08:30:00+00:00
160,164,moderate,2023-01-02 09:00:00+00:00
166,163,moderate,2023-01-02 09:30:00+00:00
165,151,moderate,2023-01-02 10:00:00+00:00
168,153,moderate,2023-01-02 10:30:00+00:00
155,155,moderate,2023-01-02 11:00:00+00:00
153,152,moderate,2023-01-02 11:30:00+00:00
159,148,moderate,2023-01-02 12:00:00+00:00
157,152,moderate,2023-01-02 12:30:00+00:00
155,159,moderate,2023-01-02 13:00:00+00:00
158,161,moderate,2023-01-02 13:30:00+00:00
167,159,moderate,2023-01-02 14:00:00+00:00
171,174,moderate,2023-01-02 14:30:00+00:00
166,185,moderate,2023-01-02 15:00:00+00:00
185,190,moderate,2023-01-02 15:30:00+00:00
203,192,moderate,2023-01-02 16:00:00+00:00
200,196,moderate,2023-01-02 16:30:00+00:00
196,203,high,2023-01-02 17:00:00+00:00
202,204,high,2023-01-02 17:30:00+00:00
206,205,high,2023-01-02 18:00:00+00:00
205,201,high,2023-01-02 18:30:00+00:00
209,202,high,2023-01-02 19:00:00+00:00
204,207,high,2023-01-02 19:30:00+00:00
207,198,moderate,2023-01-02 20:00:00+00:00
209,194,moderate,2023-01-02 20:30:00+00:00
196,185,moderate,2023-01-02 21:00:00+00:00
190,171,moderate,2023-01-02 21:30:00+00:00
182,154,moderate,2023-01-02 22:00:00+00:00
171,134,moderate,2023-01-02 22:30:00+00:00
156,118,low,2023-01-02 23:00:00+00:00
135,106,low,2023-01-02 23:30:00+00:00
119,100,low,2023-01-03 00:00:00+00:00
106,103,low,2023-01-03 00:30:00+00:00
100,101,low,2023-01-03 01:00:00+00:00
102,95,low,2023-01-03 01:30:00+00:00
103,99,low,2023-01-03 02:00:00+00:00
100,90,low,2023-01-03 02:30:00+00:00
99,90,low,2023-01-03 03:00:00+00:00
91,82,low,2023-01-03 03:30:00+00:00
95,79,low,2023-01-03 04:00:00+00:00
82,72,low,2023-01-03 04:30:00+00:00
80,79,low,2023-01-03 05:00:00+00:00
72,80,low,2023-01-03 05:30:00+00:00
82,80,low,2023-01-03 06:00:00+00:00
74,84,low,2023-01-03 06:30:00+00:00
73,96,low,2023-01-03 07:00:00+00:00
74,106,low,2023-01-03 07:30:00+00:00
93,109,low,2023-01-03 08:00:00+00:00
94,113,low,2023-01-03 08:30:00+00:00
104,115,low,2023-01-03 09:00:00+00:00
98,115,low,2023-01-03 09:30:00+00:00
108,117,low,2023-01-03 10:00:00+00:00
112,118,low,2023-01-03 10:30:00+00:00
117,117,low,2023-01-03 11:00:00+00:00
120,119,low,2023-01-03 11:30:00+00:00
121,119,low,2023-01-03 12:00:00+00:00
120,118,low,2023-01-03 12:30:00+00:00
121,116,low,2023-01-03 13:00:00+00:00
120,122,moderate,2023-01-03 13:30:00+00:00
122,123,moderate,2023-01-03 14:00:00+00:00
131,128,moderate,2023-01-03 14:30:00+00:00
123,132,moderate,2023-01-03 15:00:00+00:00
121,134,moderate,2023-01-03 15:30:00+00:00
123,132,moderate,2023-01-03 16:00:00+00:00
130,131,moderate,2023-01-03 16:30:00+00:00
125,131,moderate,2023-01-03 17:00:00+00:00
121,131,moderate,2023-01-03 17:30:00+00:00
123,128,moderate,2023-01-03 18:00:00+00:00
126,121,moderate,2023-01-03 18:30:00+00:00
116,105,low,2023-01-03 19:00:00+00:00
112,92,low,2023-01-03 19:30:00+00:00
91,80,low,2023-01-03 20:00:00+00:00
87,73,low,2023-01-03 20:30:00+00:00
73,74,low,2023-01-03 21:00:00+00:00
63,63,low,2023-01-03 21:30:00+00:00
70,72,low,2023-01-03 22:00:00+00:00
55,66,low,2023-01-03 22:30:00+00:00
63,66,low,2023-01-03 23:00:00+00:00
69,61,low,2023-01-03 23:30:00+00:00
88,64,low,2023-01-04 00:00:00+00:00
77,71,low,2023-01-04 00:30:00+00:00
70,72,low,2023-01-04 01:00:00+00:00
65,68,low,2023-01-04 01:30:00+00:00
64,67,low,2023-01-04 02:00:00+00:00
68,59,low,2023-01-04 02:30:00+00:00
81,55,low,2023-01-04 03:00:00+00:00
70,55,low,2023-01-04 03:30:00+00:00
55,53,low,2023-01-04 04:00:00+00:00
54,52,low,2023-01-04 04:30:00+00:00
54,57,low,2023-01-04 05:00:00+00:00
52,60,low,2023-01-04 05:30:00+00:00
58,60,low,2023-01-04 06:00:00+00:00
62,60,low,2023-01-04 06:30:00+00:00
62,63,low,2023-01-04 07:00:00+00:00
60,66,low,2023-01-04 07:30:00+00:00
64,66,low,2023-01-04 08:00:00+00:00
65,65,low,2023-01-04 08:30:00+00:00
65,65,low,2023-01-04 09:00:00+00:00
57,63,low,2023-01-04 09:30:00+00:00
59,62,low,2023-01-04 10:00:00+00:00
60,59,low,2023-01-04 10:30:00+00:00
62,55,low,2023-01-04 11:00:00+00:00
62,53,low,2023-01-04 11:30:00+00:00
56,56,low,2023-01-04 12:00:00+00:00
49,57,low,2023-01-04 12:30:00+00:00
65,55,low,2023-01-04 13:00:00+00:00
55,56,low,2023-01-04 13:30:00+00:00
56,59,low,2023-01-04 14:00:00+00:00
52,62,low,2023-01-04 14:30:00+00:00
55,66,low,2023-01-04 15:00:00+00:00
58,76,low,2023-01-04 15:30:00+00:00
71,85,low,2023-01-04 16:00:00+00:00
80,85,low,2023-01-04 16:30:00+00:00
77,90,low,2023-01-04 17:00:00+00:00
85,92,low,2023-01-04 17:30:00+00:00
79,90,low,2023-01-04 18:00:00+00:00
88,88,low,2023-01-04 18:30:00+00:00
77,86,low,2023-01-04 19:00:00+00:00
80,78,low,2023-01-04 19:30:00+00:00
85,75,low,2023-01-04 20:00:00+00:00
80,70,low,2023-01-04 20:30:00+00:00
73,59,low,2023-01-04 21:00:00+00:00
66,55,low,2023-01-04 21:30:00+00:00
56,51,low,2023-01-04 22:00:00+00:00
47,55,low,2023-01-04 22:30:00+00:00
46,65,low,2023-01-04 23:00:00+00:00
58,63,low,2023-01-04 23:30:00+00:00
59,64,low,2023-01-05 00:00:00+00:00
58,70,low,2023-01-05 00:30:00+00:00
63,69,low,2023-01-05 01:00:00+00:00
63,69,low,2023-01-05 01:30:00+00:00
70,70,low,2023-01-05 02:00:00+00:00
69,71,low,2023-01-05 02:30:00+00:00
73,72,low,2023-01-05 03:00:00+00:00
68,74,low,2023-01-05 03:30:00+00:00
76,77,low,2023-01-05 04:00:00+00:00
79,88,low,2023-01-05 04:30:00+00:00
82,88,low,2023-01-05 05:00:00+00:00
94,98,low,2023-01-05 05:30:00+00:00
94,109,low,2023-01-05 06:00:00+00:00
109,130,moderate,2023-01-05 06:30:00+00:00
131,140,moderate,2023-01-05 07:00:00+00:00
139,151,moderate,2023-01-05 07:30:00+00:00
147,154,moderate,2023-01-05 08:00:00+00:00
157,160,moderate,2023-01-05 08:30:00+00:00
158,161,moderate,2023-01-05 09:00:00+00:00
156,162,moderate,2023-01-05 09:30:00+00:00
158,167,moderate,2023-01-05 10:00:00+00:00
154,158,moderate,2023-01-05 10:30:00+00:00
163,149,moderate,2023-01-05 11:00:00+00:00
156,145,moderate,2023-01-05 11:30:00+00:00
144,141,moderate,2023-01-05 12:00:00+00:00
130,134,moderate,2023-01-05 12:30:00+00:00
132,130,moderate,2023-01-05 13:00:00+00:00
122,122,moderate,2023-01-05 13:30:00+00:00
129,127,moderate,2023-01-05 14:00:00+00:00
123,120,moderate,2023-01-05 14:30:00+00:00
116,114,low,2023-01-05 15:00:00+00:00
117,115,low,2023-01-05 15:30:00+00:00
113,119,low,2023-01-05 16:00:00+00:00
116,125,moderate,2023-01-05 16:30:00+00:00
110,123,moderate,2023-01-05 17:00:00+00:00
109,121,moderate,2023-01-05 17:30:00+00:00
118,117,low,2023-01-05 18:00:00+00:00
105,113,low,2023-01-05 18:30:00+00:00
111,96,low,2023-01-05 19:00:00+00:00
108,86,low,2023-01-05 19:30:00+00:00
92,67,low,2023-01-05 20:00:00+00:00
83,59,low,2023-01-05 20:30:00+00:00
70,53,low,2023-01-05 21:00:00+00:00
51,49,low,2023-01-05 21:30:00+00:00
52,56,low,2023-01-05 22:00:00+00:00
47,53,low,2023-01-05 22:30:00+00:00
57,57,low,2023-01-05 23:00:00+00:00
53,58,low,2023-01-05 23:30:00+00:00
54,62,low,2023-01-06 00:00:00+00:00
55,66,low,2023-01-06 00:30:00+00:00
67,58,low,2023-01-06 01:00:00+00:00
69,58,low,2023-01-06 01:30:00+00:00
57,62,low,2023-01-06 02:00:00+00:00
55,63,low,2023-01-06 02:30:00+00:00
61,67,low,2023-01-06 03:00:00+00:00
59,60,low,2023-01-06 03:30:00+00:00
57,55,low,2023-01-06 04:00:00+00:00
59,57,low,2023-01-06 04:30:00+00:00
54,62,low,2023-01-06 05:00:00+00:00
64,67,low,2023-01-06 05:30:00+00:00
67,71,low,2023-01-06 06:00:00+00:00
67,79,low,2023-01-06 06:30:00+00:00
70,80,low,2023-01-06 07:00:00+00:00
76,87,low,2023-01-06 07:30:00+00:00
76,89,low,2023-01-06 08:00:00+00:00
84,93,low,2023-01-06 08:30:00+00:00
111,90,low,2023-01-06 09:00:00+00:00
85,90,low,2023-01-06 09:30:00+00:00
81,93,low,2023-01-06 10:00:00+00:00
88,90,low,2023-01-06 10:30:00+00:00
90,90,low,2023-01-06 11:00:00+00:00
91,88,low,2023-01-06 11:30:00+00:00
90,90,low,2023-01-06 12:00:00+00:00
89,94,low,2023-01-06 12:30:00+00:00
94,96,low,2023-01-06 13:00:00+00:00
101,97,low,2023-01-06 13:30:00+00:00
114,105,low,2023-01-06 14:00:00+00:00
108,113,low,2023-01-06 14:30:00+00:00
124,122,moderate,2023-01-06 15:00:00+00:00
123,130,moderate,2023-01-06 15:30:00+00:00
126,134,moderate,2023-01-06 16:00:00+00:00
136,136,moderate,2023-01-06 16:30:00+00:00
137,137,moderate,2023-01-06 17:00:00+00:00
131,131,moderate,2023-01-06 17:30:00+00:00
122,129,moderate,2023-01-06 18:00:00+00:00
111,116,low,2023-01-06 18:30:00+00:00
113,107,low,2023-01-06 19:00:00+00:00
104,87,low,2023-01-06 19:30:00+00:00
107,76,low,2023-01-06 20:00:00+00:00
83,70,low,2023-01-06 20:30:00+00:00
69,66,low,2023-01-06 21:00:00+00:00
51,62,low,2023-01-06 21:30:00+00:00
59,52,low,2023-01-06 22:00:00+00:00
52,49,low,2023-01-06 22:30:00+00:00
53,55,low,2023-01-06 23:00:00+00:00
46,51,low,2023-01-06 23:30:00+00:00
50,56,low,2023-01-07 00:00:00+00:00
52,61,low,2023-01-07 00:30:00+00:00
54,59,low,2023-01-07 01:00:00+00:00
55,51,low,2023-01-07 01:30:00+00:00
56,54,low,2023-01-07 02:00:00+00:00
57,51,low,2023-01-07 02:30:00+00:00
61,52,low,2023-01-07 03:00:00+00:00
53,53,low,2023-01-07 03:30:00+00:00
53,61,low,2023-01-07 04:00:00+00:00
53,60,low,2023-01-07 04:30:00+00:00
59,61,low,2023-01-07 05:00:00+00:00
60,66,low,2023-01-07 05:30:00+00:00
60,62,low,2023-01-07 06:00:00+00:00
69,67,low,2023-01-07 06:30:00+00:00
61,56,low,2023-01-07 07:00:00+00:00
60,65,low,2023-01-07 07:30:00+00:00
54,63,low,2023-01-07 08:00:00+00:00
62,78,low,2023-01-07 08:30:00+00:00
58,79,low,2023-01-07 09:00:00+00:00
70,79,low,2023-01-07 09:30:00+00:00
75,78,low,2023-01-07 10:00:00+00:00
74,74,low,2023-01-07 10:30:00+00:00
72,72,low,2023-01-07 11:00:00+00:00
69,73,low,2023-01-07 11:30:00+00:00
66,72,low,2023-01-07 12:00:00+00:00
67,69,low,2023-01-07 12:30:00+00:00
63,69,low,2023-01-07 13:00:00+00:00
64,67,low,2023-01-07 13:30:00+00:00
63,67,low,2023-01-07 14:00:00+00:00
61,65,low,2023-01-07 14:30:00+00:00
59,67,low,2023-01-07 15:00:00+00:00
59,63,low,2023-01-07 15:30:00+00:00
62,61,low,2023-01-07 16:00:00+00:00
59,67,low,2023-01-07 16:30:00+00:00
58,71,low,2023-01-07 17:00:00+00:00
58,70,low,2023-01-07 17:30:00+00:00
64,68,low,2023-01-07 18:00:00+00:00
62,63,low,2023-01-07 18:30:00+00:00
122,56,low,2023-01-07 19:00:00+00:00
59,53,low,2023-01-07 19:30:00+00:00
52,61,low,2023-01-07 20:00:00+00:00
39,56,low,2023-01-07 20:30:00+00:00
52,63,low,2023-01-07 21:00:00+00:00
49,63,low,2023-01-07 21:30:00+00:00
60,71,low,2023-01-07 22:00:00+00:00
59,71,low,2023-01-07 22:30:00+00:00
71,70,low,2023-01-07 23:00:00+00:00
69,61,low,2023-01-07 23:30:00+00:00
