time,cost_p_per_kwh
2024-04-06 03:30:00+00:00,-1.386
2024-04-06 04:00:00+00:00,0.021
2024-04-06 04:30:00+00:00,0.21
2024-04-06 05:00:00+00:00,0.21
2024-04-06 05:30:00+00:00,0.0
2024-04-06 06:00:00+00:00,-1.617
2024-04-06 06:30:00+00:00,0.336
2024-04-06 07:00:00+00:00,0.672
2024-04-06 07:30:00+00:00,2.667
2024-04-06 08:00:00+00:00,0.0
2024-04-06 08:30:00+00:00,-0.0105
2024-04-06 09:00:00+00:00,0.651
2024-04-06 09:30:00+00:00,-0.798
2024-04-06 10:00:00+00:00,-1.239
2024-04-06 10:30:00+00:00,-1.596
2024-04-06 11:00:00+00:00,-1.806
2024-04-06 11:30:00+00:00,-2.352
2024-04-06 12:00:00+00:00,-3.339
2024-04-06 12:30:00+00:00,-3.78
2024-04-06 13:00:00+00:00,-3.339
2024-04-06 13:30:00+00:00,-3.738
2024-04-06 14:00:00+00:00,-1.68
2024-04-06 14:30:00+00:00,-0.21
2024-04-06 15:00:00+00:00,11.004
2024-04-06 15:30:00+00:00,12.936
2024-04-06 16:00:00+00:00,15.876
2024-04-06 16:30:00+00:00,19.7715
2024-04-06 17:00:00+00:00,19.95
2024-04-06 17:30:00+00:00,19.95
2024-04-06 18:00:00+00:00,7.35
2024-04-06 18:30:00+00:00,7.077
2024-04-06 19:00:00+00:00,6.699
2024-04-06 19:30:00+00:00,4.893
2024-04-06 20:00:00+00:00,5.523
2024-04-06 20:30:00+00:00,1.155
2024-04-06 21:00:00+00:00,2.31
2024-04-06 21:30:00+00:00,-0.63
2024-04-06 22:00:00+00:00,2.1
2024-04-06 22:30:00+00:00,1.05
2024-04-06 23:00:00+00:00,1.05
2024-04-06 23:30:00+00:00,1.05
2024-04-07 00:00:00+00:00,-0.336
2024-04-07 00:30:00+00:00,-0.8085
2024-04-07 01:00:00+00:00,-0.336
2024-04-07 01:30:00+00:00,-1.155
2024-04-07 02:00:00+00:00,-0.336
2024-04-07 02:30:00+00:00,-0.672
2024-04-07 03:00:00+00:00,-0.336
2024-04-07 03:30:00+00:00,-0.483
2024-04-07 04:00:00+00:00,-0.336
2024-04-07 04:30:00+00:00,-0.315
2024-04-07 05:00:00+00:00,-1.68
2024-04-07 05:30:00+00:00,-0.336
2024-04-07 06:00:00+00:00,-0.63
2024-04-07 06:30:00+00:00,0.21
2024-04-07 07:00:00+00:00,-0.336
2024-04-07 07:30:00+00:00,0.168
2024-04-07 08:00:00+00:00,0.714
2024-04-07 08:30:00+00:00,1.47
2024-04-07 09:00:00+00:00,0.63
2024-04-07 09:30:00+00:00,0.4515
2024-04-07 10:00:00+00:00,-0.336
2024-04-07 10:30:00+00:00,-0.336
2024-04-07 11:00:00+00:00,-0.84
2024-04-07 11:30:00+00:00,-0.42
2024-04-07 12:00:00+00:00,-1.659
2024-04-07 12:30:00+00:00,-1.68
2024-04-07 13:00:00+00:00,-0.21
2024-04-07 13:30:00+00:00,0.0
2024-04-07 14:00:00+00:00,-0.903
2024-04-07 14:30:00+00:00,0.0
2024-04-07 15:00:00+00:00,12.6
2024-04-07 15:30:00+00:00,13.503
2024-04-07 16:00:00+00:00,16.485
2024-04-07 16:30:00+00:00,18.858
2024-04-07 17:00:00+00:00,22.008
2024-04-07 17:30:00+00:00,22.344
2024-04-07 18:00:00+00:00,10.353
2024-04-07 18:30:00+00:00,10.08
2024-04-07 19:00:00+00:00,10.5
2024-04-07 19:30:00+00:00,8.778
2024-04-07 20:00:00+00:00,11.004
2024-04-07 20:30:00+00:00,6.846
2024-04-07 21:00:00+00:00,8.82
2024-04-07 21:30:00+00:00,3.15
2024-04-07 22:00:00+00:00,5.46
2024-04-07 22:30:00+00:00,3.15
2024-04-07 23:00:00+00:00,4.2
2024-04-07 23:30:00+00:00,4.368
2024-04-08 00:00:00+00:00,5.04
2024-04-08 00:30:00+00:00,7.56
2024-04-08 01:00:00+00:00,6.594
2024-04-08 01:30:00+00:00,7.035
2024-04-08 02:00:00+00:00,7.245
2024-04-08 02:30:00+00:00,7.434
2024-04-08 03:00:00+00:00,6.573
2024-04-08 03:30:00+00:00,8.064
2024-04-08 04:00:00+00:00,10.29
2024-04-08 04:30:00+00:00,11.991
2024-04-08 05:00:00+00:00,14.28
2024-04-08 05:30:00+00:00,14.259
2024-04-08 06:00:00+00:00,12.432
2024-04-08 06:30:00+00:00,16.842
2024-04-08 07:00:00+00:00,14.007
2024-04-08 07:30:00+00:00,15.75
2024-04-08 08:00:00+00:00,14.7
2024-04-08 08:30:00+00:00,15.12
2024-04-08 09:00:00+00:00,13.86
2024-04-08 09:30:00+00:00,13.86
2024-04-08 10:00:00+00:00,13.713
2024-04-08 10:30:00+00:00,13.65
2024-04-08 11:00:00+00:00,14.7
2024-04-08 11:30:00+00:00,14.784
2024-04-08 12:00:00+00:00,14.7
2024-04-08 12:30:00+00:00,13.755
2024-04-08 13:00:00+00:00,14.28
2024-04-08 13:30:00+00:00,13.146
2024-04-08 14:00:00+00:00,12.39
2024-04-08 14:30:00+00:00,12.6
2024-04-08 15:00:00+00:00,27.09
2024-04-08 15:30:00+00:00,28.98
2024-04-08 16:00:00+00:00,30.66
2024-04-08 16:30:00+00:00,32.76
2024-04-08 17:00:00+00:00,33.096
2024-04-08 17:30:00+00:00,32.508
2024-04-08 18:00:00+00:00,18.48
2024-04-08 18:30:00+00:00,17.808
2024-04-08 19:00:00+00:00,14.679
2024-04-08 19:30:00+00:00,14.2695
2024-04-08 20:00:00+00:00,13.734
2024-04-08 20:30:00+00:00,12.054
2024-04-08 21:00:00+00:00,14.049
2024-04-08 21:30:00+00:00,13.23
2024-04-08 22:00:00+00:00,14.112
2024-04-08 22:30:00+00:00,13.545
2024-04-08 23:00:00+00:00,11.76
2024-04-08 23:30:00+00:00,11.76
2024-04-09 00:00:00+00:00,11.13
2024-04-09 00:30:00+00:00,11.13
2024-04-09 01:00:00+00:00,11.487
2024-04-09 01:30:00+00:00,9.471
2024-04-09 02:00:00+00:00,8.19
2024-04-09 02:30:00+00:00,7.035
2024-04-09 03:00:00+00:00,7.329
2024-04-09 03:30:00+00:00,5.88
2024-04-09 04:00:00+00:00,7.35
2024-04-09 04:30:00+00:00,8.463
2024-04-09 05:00:00+00:00,10.5
2024-04-09 05:30:00+00:00,13.65
2024-04-09 06:00:00+00:00,12.369
2024-04-09 06:30:00+00:00,14.91
2024-04-09 07:00:00+00:00,13.503
2024-04-09 07:30:00+00:00,13.86
2024-04-09 08:00:00+00:00,14.259
2024-04-09 08:30:00+00:00,13.608
2024-04-09 09:00:00+00:00,12.957
2024-04-09 09:30:00+00:00,11.55
2024-04-09 10:00:00+00:00,8.82
2024-04-09 10:30:00+00:00,8.82
2024-04-09 11:00:00+00:00,8.4
2024-04-09 11:30:00+00:00,5.25
2024-04-09 12:00:00+00:00,4.599
2024-04-09 12:30:00+00:00,2.457
2024-04-09 13:00:00+00:00,3.15
2024-04-09 13:30:00+00:00,0.84
2024-04-09 14:00:00+00:00,2.1
2024-04-09 14:30:00+00:00,2.94
2024-04-09 15:00:00+00:00,15.96
2024-04-09 15:30:00+00:00,20.328
2024-04-09 16:00:00+00:00,21.0
2024-04-09 16:30:00+00:00,23.52
2024-04-09 17:00:00+00:00,25.83
2024-04-09 17:30:00+00:00,26.25
2024-04-09 18:00:00+00:00,13.461
2024-04-09 18:30:00+00:00,13.776
2024-04-09 19:00:00+00:00,14.07
2024-04-09 19:30:00+00:00,13.314
2024-04-09 20:00:00+00:00,12.075
2024-04-09 20:30:00+00:00,10.017
2024-04-09 21:00:00+00:00,10.08
2024-04-09 21:30:00+00:00,6.09
2024-04-09 22:00:00+00:00,4.2
2024-04-09 22:30:00+00:00,0.84
2024-04-09 23:00:00+00:00,0.945
2024-04-09 23:30:00+00:00,1.3335
2024-04-10 00:00:00+00:00,0.84
2024-04-10 00:30:00+00:00,3.36
2024-04-10 01:00:00+00:00,2.52
2024-04-10 01:30:00+00:00,3.78
2024-04-10 02:00:00+00:00,4.116
2024-04-10 02:30:00+00:00,5.964
2024-04-10 03:00:00+00:00,7.329
2024-04-10 03:30:00+00:00,7.455
2024-04-10 04:00:00+00:00,10.5
2024-04-10 04:30:00+00:00,11.55
2024-04-10 05:00:00+00:00,15.792
2024-04-10 05:30:00+00:00,16.086
2024-04-10 06:00:00+00:00,17.682
2024-04-10 06:30:00+00:00,19.719
2024-04-10 07:00:00+00:00,15.834
2024-04-10 07:30:00+00:00,15.75
2024-04-10 08:00:00+00:00,15.7185
2024-04-10 08:30:00+00:00,14.259
2024-04-10 09:00:00+00:00,12.831
2024-04-10 09:30:00+00:00,12.852
2024-04-10 10:00:00+00:00,13.65
2024-04-10 10:30:00+00:00,13.86
2024-04-10 11:00:00+00:00,12.285
2024-04-10 11:30:00+00:00,11.088
2024-04-10 12:00:00+00:00,9.45
2024-04-10 12:30:00+00:00,6.51
2024-04-10 13:00:00+00:00,5.67
2024-04-10 13:30:00+00:00,4.2
2024-04-10 14:00:00+00:00,7.119
2024-04-10 14:30:00+00:00,8.106
2024-04-10 15:00:00+00:00,22.512
2024-04-10 15:30:00+00:00,24.759
2024-04-10 16:00:00+00:00,25.4205
2024-04-10 16:30:00+00:00,27.048
2024-04-10 17:00:00+00:00,29.463
2024-04-10 17:30:00+00:00,28.896
2024-04-10 18:00:00+00:00,16.17
2024-04-10 18:30:00+00:00,15.12
2024-04-10 19:00:00+00:00,15.687
2024-04-10 19:30:00+00:00,14.7
2024-04-10 20:00:00+00:00,13.44
2024-04-10 20:30:00+00:00,8.904
2024-04-10 21:00:00+00:00,7.077
2024-04-10 21:30:00+00:00,0.21
2024-04-10 22:00:00+00:00,2.1
2024-04-10 22:30:00+00:00,-0.189
2024-04-10 23:00:00+00:00,-1.176
2024-04-10 23:30:00+00:00,-1.47
