time,temperature_2m,relative_humidity_2m,wind_speed_10m,apparent_temperature
2023-12-16 20:00:00,11.0,91,18.7,8.1
2023-12-16 21:00:00,10.9,91,17.2,8.3
2023-12-16 22:00:00,10.7,93,16.2,8.3
2023-12-16 23:00:00,10.4,95,13.6,8.3
2023-12-17 00:00:00,10.6,93,16.5,8.1
2023-12-17 01:00:00,10.0,92,17.1,7.2
2023-12-17 02:00:00,9.6,93,15.5,7.0
2023-12-17 03:00:00,9.0,94,16.0,6.2
2023-12-17 04:00:00,9.0,91,17.4,5.9
2023-12-17 05:00:00,8.4,92,16.0,5.3
2023-12-17 06:00:00,7.2,94,15.0,4.1
2023-12-17 07:00:00,6.8,93,16.1,3.4
2023-12-17 08:00:00,6.8,93,18.3,3.1
2023-12-17 09:00:00,7.5,91,20.6,3.5
2023-12-17 10:00:00,8.7,86,21.2,4.8
2023-12-17 11:00:00,10.0,82,18.8,6.5
2023-12-17 12:00:00,10.6,79,25.7,6.1
2023-12-17 13:00:00,10.6,79,22.4,6.6
2023-12-17 14:00:00,10.3,81,20.6,6.5
2023-12-17 15:00:00,9.6,83,19.2,6.0
2023-12-17 16:00:00,9.2,83,18.9,5.6
2023-12-17 17:00:00,8.9,84,19.1,5.2
2023-12-17 18:00:00,9.0,85,19.1,5.3
2023-12-17 19:00:00,9.1,86,19.4,5.5
2023-12-17 20:00:00,8.8,90,18.6,5.4
2023-12-17 21:00:00,8.4,92,18.1,5.0
2023-12-17 22:00:00,8.2,92,17.7,4.9
2023-12-17 23:00:00,8.2,92,18.4,4.7
2023-12-18 00:00:00,8.3,93,18.3,4.9
2023-12-18 01:00:00,8.1,93,19.4,4.5
2023-12-18 02:00:00,8.2,93,19.5,4.6
2023-12-18 03:00:00,8.2,93,18.5,4.8
2023-12-18 04:00:00,8.3,93,17.7,5.0
2023-12-18 05:00:00,8.4,92,17.4,5.1
2023-12-18 06:00:00,8.6,91,16.8,5.4
2023-12-18 07:00:00,8.4,92,17.6,5.1
2023-12-18 08:00:00,8.7,90,19.1,5.2
2023-12-18 09:00:00,8.9,89,19.6,5.3
2023-12-18 10:00:00,9.8,84,20.4,6.2
2023-12-18 11:00:00,10.5,82,19.9,6.9
2023-12-18 12:00:00,11.1,80,21.9,7.3
2023-12-18 13:00:00,11.5,79,17.7,8.4
2023-12-18 14:00:00,11.7,80,21.3,8.2
2023-12-18 15:00:00,11.7,82,22.5,8.1
2023-12-18 16:00:00,11.6,85,22.9,8.0
2023-12-18 17:00:00,11.6,88,24.0,8.0
2023-12-18 18:00:00,11.6,89,24.0,8.1
2023-12-18 19:00:00,11.7,89,22.0,8.5
